no,visual,name,isSlide,text,,,
1,0,,FALSE,大きななにかもわからない生物が目の前のビルが倒壊させるのが見えた。,,,
2,3,九条 アカリ,TRUE,正直死を悟った。,,,
3,4,九条 アカリ,FALSE,何か今日罰当たりなことをしただろうか。何もしていないはずだけど。,,,
4,4,九条 アカリ,FALSE,真面目に頑張ってきたのにな。,,,
5,0,,FALSE,よくもわからない生物が自分に対して大きく手を振り上げた。,,,
6,0,,FALSE,目の前が白く光った。,,,
7,0,,FALSE,その瞬間その大きな生物のの振り上げた手が止まった。,,,
8,7,???,TRUE,良かった。間に合ったみたいだね。,,,
9,8,ララン,TRUE,唐突だけど君僕と一緒に世界を救ってくれないかい？,,,
10,0,,FALSE,走馬灯でも見ているのだろうか。ぬいぐるみがしゃべっている。,,, 
11,8,ララン,TRUE,理解が追い付いていないみたいだね。,,,
12,8,ララン,FALSE,でも今疑問に思っていることに答えることはできない。,,,
13,8,ララン,FALSE,なんせ時間が無いからね。,,,
14,8,ララン,FALSE,君には今から目の前にいる化け物と戦ってもらう。,,,
15,8,ララン,FALSE,今君に「ソウル」って言う魔法少女に変身できるものを渡した。,,,
16,8,ララン,FALSE,それを使って化け物を倒してほしい。,,,
17,4,九条 アカリ,TRUE,変身して戦えばいいのね？,,,
18,8,ララン,TRUE,理解が早いね。,,,
19,4,九条 アカリ,TRUE,どちらにしても戦わなきゃ死ぬんでしょ？,,,
20,4,九条 アカリ,FALSE,ならどっちみちやるしかないじゃない。,,,
21,8,ララン,TRUE,理解が早くて助かるよ。,,,
22,8,ララン,FALSE,さぁ世界を救いに行こう！,,,
