no,visual,name,isSlide,text,,,
1,0, ,FALSE,ゴゴゴゴゴ/大きな音が鳴り響いている。,,,
2,1,???,TRUE,一体何がおこってるの？,,,
3,2,花椿 リン,TRUE,キャア！,,,
4,0, ,FALSE,上から鉄骨が落ちた。　,,,
5,0, ,FALSE,その瞬間世界が灰色になった。,,,
6,2,花椿 リン,TRUE,あれ？私死んでない。,,,
7,7,???,TRUE,怪我はないかい？,,,
8,7, ,FALSE,そこには小さなウサギのぬいぐるみがいた。,,,
9,8,ララン,TRUE,時間が無いから手短に説明するよ。,,,
10,2,花椿 リン,TRUE,ちょっと待って！いったあなたは誰？/一体何が起こってるの？,,, 
11,8,ララン,TRUE,今はそれを説明している時間がないんだ。,,,
12,8,ララン,FALSE,僕からの要件は1つ。/魔法少女になって世界を救ってくれないかい？,,,
13,2,花椿 リン,TRUE,どうして私なの？,,,
14,8,ララン,TRUE,特に理由はないさ。/君にたまたま適性があっただけ。,,,
15,2,花椿 リン,TRUE,一体私はどうすればいいの？,,,
16,8,ララン,TRUE,君に今魔法少女の力の源「ソウル」を渡した。,,,
17,8,ララン,FALSE,それは今の状態では変身できない。,,,
18,8,ララン,FALSE,沢山の人の応援の気持ちが溜まっていくことで/魔法少女に変身できるようになる。,,,
19,8,ララン,FALSE,だからなるべく目立ちながら戦わなきゃならない。,,,
20,2,花椿 リン,TRUE,ちょっと待って！戦うの？生身で？,,,
21,8,ララン,TRUE,別に無理して攻撃する必要はないさ/敵の攻撃を避けたりすれば注目も集まると思うよ？,,,
22,2,花椿 リン,TRUE,そんな簡単に言わないでよ…,,,
23,8,ララン,TRUE,まぁでも君が戦わなきゃいずれにしろ世界は滅ぶよ。,,,
24,2,花椿 リン,TRUE,やるしかないってことね？,,,
25,2,花椿 リン,FALSE,いいわやってやる！,,,
26,8,ララン,TRUE,その返事を待っていたよ。/さぁ世界を救いに行こう！,,,
